node_id,closest_station_id
001e0610ba46,KILCHICA594
001e0610ba3b,KILCHICA658
001e0610ba8f,KILCHICA505
001e0610ba16,KILCHICA609
001e0610ba8b,KILCHICA505
001e0610ba18,KILCHICA497
001e0610bc10,KILCHICA509
001e0610bbf9,KILCHICA509
001e0610bbff,KILCHICA498
001e0610ba15,KILCHICA505
001e0610bbe5,KILCHICA509
001e0610ee33,KILCHICA317
001e0610b9e5,KILCHICA317
001e0610f8f4,KILCHICA561
001e0610ee41,KILCHICA498
001e0610eef4,KILCHICA652
001e0610ef29,KILCHICA509
001e0610f668,KILCHICA497
001e0610f730,KILCHICA317
001e0610bc07,KILCHICA535
001e0610ef26,KILCHICA520
001e0610ea5a,KILCHICA652
001e0610ee61,KILCHICA535
001e0610ba81,KILCHICA505
001e0610ba57,KILCHICA498
001e0610ee82,KILCHICA652
001e0610ef27,KILCHICA497
001e0610fb4c,KILCHICA652
001e0610ee6f,KILCHICA497
001e0610ef68,KILCHICA497
001e0610e809,KILCHICA652
001e0610ee36,KILCHICA505
001e061135cb,KILCHICA225
001e0610e532,KILCHICA497
001e0610ee5d,KILOAKPA23
001e0610ef73,KILCHICA656
001e0610e540,KILCHICA534
001e0610f6dd,KILCHICA569
001e06113ad8,KILCHICA132
001e0611441e,KILCHICA225
001e06113d83,KILCHICA516
001e06112e77,KILCHICA225
001e0610f6db,KILCHICA505
001e06115365,KILCHICA505
001e06113cff,KILEVERG5
001e0611537d,KILCHICA505
001e06113107,KILEVERG5
001e06114fd4,KILCHICA505
001e06113ad6,KILCHICA652
001e06109f62,KILCHICA317
001e06113ace,KILCHICA534
001e061146bc,KILCHICA652
001e061146cb,KILCHICA52
001e0610e539,KILOAKPA1
001e0610f703,KILCHICA498
001e0610b9e9,KILCHICA317
001e0611462f,KILCHICA534
001e06115369,KILCHICA569
001e0610bc12,KILCHICA509
001e0610e835,KILCHICA317
001e0610e538,KILCHICA509
001e0610eef2,KILCHICA317
001e061130f4,KILCHICA588
001e0610ee43,KILCHICA505
001e0610f05c,KILCHICA652
001e0610f732,KILOAKPA23
001e06113100,KILCHICA509
001e0610e537,KILCHICA317
001e0610f513,KILCHICA569
001e06109416,KILCHICA652
001e061146d6,KILCHICA516
001e06113d22,KILCHICA225
001e06114503,KILCHICA509
001e06113dbc,KILCHICA505
001e061144c0,KILCHICA656
001e06114fcf,KILCHICA317
001e06115382,KILCHICA594
001e06113cf1,KILCHICA594
001e06113acb,KILCHICA497
001e06113f54,KILCHICA594
001e06114500,KILCHICA509
001e06113d32,KILCHICA317
001e061146ba,KILOAKPA23
001e06113a48,KILCHICA317
001e06113ba6,KILCHICA132
001e06115379,KILCHICA594
001e06114fd6,KILCHICA130
001e0611536c,KILCHICA594
001e06114fd9,KILCHICA52
001e061144be,KILCHICA505
001e0610ba13,KILEVERG5
