,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Precip Accum,Condition
0,7:51 PM,28 F,15 F,58 %,WNW,9 mph,0 mph,29.5 in,0.0 in,0.0 in,Mostly Cloudy
1,8:51 PM,27 F,13 F,56 %,NW,13 mph,20 mph,29.5 in,0.0 in,0.0 in,Mostly Cloudy
2,9:51 PM,26 F,12 F,55 %,WNW,8 mph,0 mph,29.5 in,0.0 in,0.0 in,Cloudy
3,10:51 PM,26 F,12 F,55 %,WNW,7 mph,0 mph,29.5 in,0.0 in,0.0 in,Cloudy
4,11:51 PM,25 F,12 F,58 %,W,5 mph,0 mph,29.5 in,0.0 in,0.0 in,Partly Cloudy
5,12:51 AM,24 F,12 F,60 %,CALM,0 mph,0 mph,29.5 in,0.0 in,0.0 in,Fair
6,1:51 AM,25 F,13 F,60 %,NW,3 mph,0 mph,29.5 in,0.0 in,0.0 in,Partly Cloudy
7,2:51 AM,26 F,13 F,58 %,WSW,3 mph,0 mph,29.5 in,0.0 in,0.0 in,Mostly Cloudy
8,3:51 AM,29 F,12 F,49 %,WSW,6 mph,0 mph,29.5 in,0.0 in,0.0 in,Fair
9,4:51 AM,32 F,10 F,40 %,SW,5 mph,0 mph,29.5 in,0.0 in,0.0 in,Partly Cloudy
10,5:51 AM,35 F,11 F,37 %,VAR,5 mph,0 mph,29.5 in,0.0 in,0.0 in,Mostly Cloudy
11,6:51 AM,38 F,15 F,39 %,SSW,7 mph,0 mph,29.5 in,0.0 in,0.0 in,Mostly Cloudy
12,7:51 AM,41 F,15 F,35 %,WSW,6 mph,0 mph,29.4 in,0.0 in,0.0 in,Cloudy
13,8:51 AM,42 F,18 F,38 %,SW,10 mph,0 mph,29.4 in,0.0 in,0.0 in,Cloudy
14,9:51 AM,41 F,21 F,45 %,SSW,13 mph,18 mph,29.4 in,0.0 in,0.0 in,Cloudy
15,10:51 AM,40 F,23 F,51 %,SSW,14 mph,0 mph,29.4 in,0.0 in,0.0 in,Cloudy
16,11:41 AM,36 F,30 F,79 %,SSW,10 mph,0 mph,29.3 in,0.0 in,0.0 in,Light Snow
17,11:51 AM,36 F,31 F,82 %,S,12 mph,0 mph,29.3 in,0.0 in,0.0 in,Light Snow
18,12:51 PM,36 F,31 F,82 %,S,14 mph,0 mph,29.3 in,0.0 in,0.0 in,Cloudy
19,1:41 PM,36 F,31 F,82 %,S,9 mph,0 mph,29.3 in,0.0 in,0.0 in,Cloudy
20,1:51 PM,36 F,31 F,82 %,S,9 mph,0 mph,29.3 in,0.0 in,0.0 in,Cloudy
21,2:51 PM,36 F,32 F,86 %,SSE,9 mph,0 mph,29.3 in,0.0 in,0.0 in,Light Drizzle
22,3:44 PM,35 F,32 F,89 %,SSE,7 mph,0 mph,29.3 in,0.0 in,0.0 in,Wintry Mix
23,3:51 PM,34 F,32 F,92 %,SSE,8 mph,0 mph,29.3 in,0.0 in,0.0 in,Light Snow
24,3:58 PM,34 F,32 F,92 %,SSE,6 mph,0 mph,29.3 in,0.0 in,0.0 in,Wintry Mix
25,4:06 PM,34 F,32 F,92 %,SE,5 mph,0 mph,29.3 in,0.0 in,0.0 in,Wintry Mix
26,4:22 PM,34 F,32 F,92 %,SSE,6 mph,0 mph,29.3 in,0.0 in,0.0 in,Wintry Mix
27,4:27 PM,34 F,32 F,92 %,SSE,6 mph,0 mph,29.3 in,0.0 in,0.0 in,Wintry Mix
28,4:40 PM,34 F,32 F,92 %,SSE,3 mph,0 mph,29.3 in,0.0 in,0.0 in,Light Snow
29,4:51 PM,33 F,32 F,96 %,CALM,0 mph,0 mph,29.3 in,0.0 in,0.0 in,Light Snow
30,5:17 PM,34 F,32 F,92 %,CALM,0 mph,0 mph,29.3 in,0.0 in,0.0 in,Light Snow
31,5:49 PM,34 F,32 F,93 %,SSE,10 mph,0 mph,29.2 in,0.0 in,0.0 in,Light Snow
32,5:51 PM,34 F,32 F,92 %,SSE,9 mph,0 mph,29.2 in,0.0 in,0.0 in,Light Snow
33,6:49 PM,36 F,34 F,93 %,SSE,7 mph,0 mph,29.2 in,0.0 in,0.0 in,Cloudy
34,6:51 PM,35 F,33 F,92 %,SSE,6 mph,0 mph,29.2 in,0.0 in,0.0 in,Cloudy
