,Temperature (° F),Actual,Historic Avg.,Record,Unnamed: 4
0,High Temp,93,80,96,
1,Low Temp,78,59,42,
2,Day Average Temp,86,70,-,
3,Precipitation,1e-16,0.11,1.69,
4,Month to Date,3.82,2.02,-,
5,Year to Date,22.67,15.1,-,
6,Heating Degree Days,0,1,-,
7,HDD Month to Date,7,40,-,
8,HDD Since July 1,6142,6332,-,
9,Cooling Degree Days,21,6,-,
10,CDD Month to Date,92,71,-,
11,CDD Year to Date,241,125,-,
12,Growing Degree Days,36,-,-,
13,Dew Point,70,-,-,
14,High,72,-,-,
15,Low,69,-,-,
16,Average,70,-,-,
17,Max Wind Speed,22,-,-,
18,Visibility,10,-,-,
19,Sea Level Pressure,29.99,-,-,
20,Actual Time,15h 13m,5:16 AM,8:30 PM,
21,Civil Twilight,,4:42 AM,9:05 PM,
22,Nautical Twilight,,3:58 AM,9:49 PM,
23,Astronomical Twilight,,3:04 AM,10:43 PM,
24,Moon: waxing crescent,,9:37 AM,12:00 AM,
