,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Precip Accum,Condition,lat,lon,station_name,station_id,date
0,7:53 PM,60 F,44 F,55 %,ESE,6 mph,0 mph,29.3 in,0.0 in,0.0 in,Fair,41.72,-87.67,Beverly Hills,KILCHICA509,5-6-2018
1,8:53 PM,59 F,43 F,55 %,ESE,3 mph,0 mph,29.3 in,0.0 in,0.0 in,Fair,41.72,-87.67,Beverly Hills,KILCHICA509,5-6-2018
2,9:53 PM,57 F,43 F,59 %,ESE,6 mph,0 mph,29.3 in,0.0 in,0.0 in,Fair,41.72,-87.67,Beverly Hills,KILCHICA509,5-6-2018
3,10:53 PM,56 F,42 F,60 %,CALM,0 mph,0 mph,29.3 in,0.0 in,0.0 in,Fair,41.72,-87.67,Beverly Hills,KILCHICA509,5-6-2018
4,11:53 PM,56 F,42 F,60 %,CALM,0 mph,0 mph,29.3 in,0.0 in,0.0 in,Fair,41.72,-87.67,Beverly Hills,KILCHICA509,5-6-2018
5,12:53 AM,56 F,42 F,60 %,NNE,9 mph,0 mph,29.3 in,0.0 in,0.0 in,Partly Cloudy,41.72,-87.67,Beverly Hills,KILCHICA509,5-6-2018
6,1:53 AM,58 F,41 F,53 %,NNW,8 mph,0 mph,29.3 in,0.0 in,0.0 in,Mostly Cloudy,41.72,-87.67,Beverly Hills,KILCHICA509,5-6-2018
7,2:53 AM,60 F,40 F,47 %,ENE,7 mph,0 mph,29.3 in,0.0 in,0.0 in,Mostly Cloudy,41.72,-87.67,Beverly Hills,KILCHICA509,5-6-2018
8,3:53 AM,62 F,40 F,44 %,SE,6 mph,0 mph,29.3 in,0.0 in,0.0 in,Mostly Cloudy,41.72,-87.67,Beverly Hills,KILCHICA509,5-6-2018
9,4:53 AM,66 F,41 F,40 %,CALM,0 mph,0 mph,29.3 in,0.0 in,0.0 in,Mostly Cloudy,41.72,-87.67,Beverly Hills,KILCHICA509,5-6-2018
10,5:53 AM,68 F,43 F,40 %,N,8 mph,0 mph,29.3 in,0.0 in,0.0 in,Mostly Cloudy,41.72,-87.67,Beverly Hills,KILCHICA509,5-6-2018
11,6:53 AM,68 F,44 F,42 %,NNE,10 mph,0 mph,29.3 in,0.0 in,0.0 in,Mostly Cloudy,41.72,-87.67,Beverly Hills,KILCHICA509,5-6-2018
12,7:53 AM,67 F,43 F,42 %,N,17 mph,0 mph,29.3 in,0.0 in,0.0 in,Mostly Cloudy,41.72,-87.67,Beverly Hills,KILCHICA509,5-6-2018
13,8:53 AM,68 F,43 F,40 %,N,16 mph,0 mph,29.4 in,0.0 in,0.0 in,Fair,41.72,-87.67,Beverly Hills,KILCHICA509,5-6-2018
14,9:53 AM,68 F,43 F,40 %,NNE,18 mph,24 mph,29.4 in,0.0 in,0.0 in,Fair,41.72,-87.67,Beverly Hills,KILCHICA509,5-6-2018
15,10:53 AM,68 F,40 F,36 %,N,16 mph,0 mph,29.4 in,0.0 in,0.0 in,Fair,41.72,-87.67,Beverly Hills,KILCHICA509,5-6-2018
16,11:53 AM,65 F,39 F,39 %,N,17 mph,0 mph,29.4 in,0.0 in,0.0 in,Fair,41.72,-87.67,Beverly Hills,KILCHICA509,5-6-2018
17,12:53 PM,63 F,38 F,40 %,N,13 mph,0 mph,29.4 in,0.0 in,0.0 in,Fair,41.72,-87.67,Beverly Hills,KILCHICA509,5-6-2018
18,1:53 PM,61 F,41 F,48 %,N,18 mph,0 mph,29.4 in,0.0 in,0.0 in,Fair,41.72,-87.67,Beverly Hills,KILCHICA509,5-6-2018
19,2:53 PM,56 F,40 F,55 %,NNE,16 mph,0 mph,29.4 in,0.0 in,0.0 in,Fair,41.72,-87.67,Beverly Hills,KILCHICA509,5-6-2018
20,3:53 PM,54 F,41 F,62 %,N,13 mph,0 mph,29.4 in,0.0 in,0.0 in,Fair,41.72,-87.67,Beverly Hills,KILCHICA509,5-6-2018
21,4:53 PM,54 F,39 F,57 %,N,10 mph,0 mph,29.5 in,0.0 in,0.0 in,Fair,41.72,-87.67,Beverly Hills,KILCHICA509,5-6-2018
22,5:53 PM,53 F,39 F,59 %,N,7 mph,0 mph,29.5 in,0.0 in,0.0 in,Mostly Cloudy,41.72,-87.67,Beverly Hills,KILCHICA509,5-6-2018
23,6:53 PM,53 F,39 F,59 %,NNE,5 mph,0 mph,29.5 in,0.0 in,0.0 in,Mostly Cloudy,41.72,-87.67,Beverly Hills,KILCHICA509,5-6-2018
