,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Precip Accum,Condition,lat,lon,station_name,station_id,date
0,7:53 PM,26 F,18 F,71 %,NNW,5 mph,0 mph,29.5 in,0.0 in,0.0 in,Cloudy,41.72,-87.71,Evergreen Park,KILEVERG5,3-1-2019
1,8:53 PM,26 F,18 F,71 %,CALM,0 mph,0 mph,29.5 in,0.0 in,0.0 in,Cloudy,41.72,-87.71,Evergreen Park,KILEVERG5,3-1-2019
2,9:53 PM,26 F,18 F,71 %,N,6 mph,0 mph,29.5 in,0.0 in,0.0 in,Cloudy,41.72,-87.71,Evergreen Park,KILEVERG5,3-1-2019
3,10:53 PM,26 F,16 F,66 %,N,5 mph,0 mph,29.5 in,0.0 in,0.0 in,Cloudy,41.72,-87.71,Evergreen Park,KILEVERG5,3-1-2019
4,11:53 PM,27 F,17 F,66 %,NNE,3 mph,0 mph,29.5 in,0.0 in,0.0 in,Cloudy,41.72,-87.71,Evergreen Park,KILEVERG5,3-1-2019
5,12:53 AM,27 F,18 F,69 %,N,5 mph,0 mph,29.5 in,0.0 in,0.0 in,Cloudy,41.72,-87.71,Evergreen Park,KILEVERG5,3-1-2019
6,1:53 AM,28 F,19 F,69 %,N,5 mph,0 mph,29.5 in,0.0 in,0.0 in,Cloudy,41.72,-87.71,Evergreen Park,KILEVERG5,3-1-2019
7,2:53 AM,29 F,20 F,69 %,NE,6 mph,0 mph,29.5 in,0.0 in,0.0 in,Cloudy,41.72,-87.71,Evergreen Park,KILEVERG5,3-1-2019
8,3:53 AM,30 F,21 F,69 %,E,8 mph,0 mph,29.5 in,0.0 in,0.0 in,Cloudy,41.72,-87.71,Evergreen Park,KILEVERG5,3-1-2019
9,4:53 AM,30 F,22 F,72 %,E,6 mph,0 mph,29.5 in,0.0 in,0.0 in,Cloudy,41.72,-87.71,Evergreen Park,KILEVERG5,3-1-2019
10,5:45 AM,32 F,23 F,69 %,E,7 mph,0 mph,29.5 in,0.0 in,0.0 in,Cloudy,41.72,-87.71,Evergreen Park,KILEVERG5,3-1-2019
11,5:53 AM,32 F,23 F,69 %,E,7 mph,0 mph,29.5 in,0.0 in,0.0 in,Cloudy,41.72,-87.71,Evergreen Park,KILEVERG5,3-1-2019
12,6:53 AM,33 F,24 F,70 %,E,3 mph,0 mph,29.5 in,0.0 in,0.0 in,Cloudy,41.72,-87.71,Evergreen Park,KILEVERG5,3-1-2019
13,7:53 AM,33 F,22 F,64 %,ENE,8 mph,0 mph,29.5 in,0.0 in,0.0 in,Cloudy,41.72,-87.71,Evergreen Park,KILEVERG5,3-1-2019
14,8:08 AM,34 F,23 F,64 %,VAR,7 mph,0 mph,29.5 in,0.0 in,0.0 in,Cloudy,41.72,-87.71,Evergreen Park,KILEVERG5,3-1-2019
15,8:53 AM,33 F,23 F,66 %,ENE,8 mph,0 mph,29.5 in,0.0 in,0.0 in,Cloudy,41.72,-87.71,Evergreen Park,KILEVERG5,3-1-2019
16,9:53 AM,34 F,23 F,64 %,E,9 mph,0 mph,29.4 in,0.0 in,0.0 in,Mostly Cloudy,41.72,-87.71,Evergreen Park,KILEVERG5,3-1-2019
17,10:53 AM,33 F,21 F,61 %,NE,8 mph,0 mph,29.4 in,0.0 in,0.0 in,Mostly Cloudy,41.72,-87.71,Evergreen Park,KILEVERG5,3-1-2019
18,11:53 AM,32 F,22 F,66 %,E,7 mph,0 mph,29.4 in,0.0 in,0.0 in,Mostly Cloudy,41.72,-87.71,Evergreen Park,KILEVERG5,3-1-2019
19,12:53 PM,31 F,21 F,67 %,NE,6 mph,0 mph,29.5 in,0.0 in,0.0 in,Mostly Cloudy,41.72,-87.71,Evergreen Park,KILEVERG5,3-1-2019
20,1:53 PM,30 F,21 F,69 %,NE,6 mph,0 mph,29.5 in,0.0 in,0.0 in,Partly Cloudy,41.72,-87.71,Evergreen Park,KILEVERG5,3-1-2019
21,2:53 PM,31 F,23 F,72 %,NE,6 mph,0 mph,29.5 in,0.0 in,0.0 in,Mostly Cloudy,41.72,-87.71,Evergreen Park,KILEVERG5,3-1-2019
22,3:53 PM,31 F,23 F,72 %,SE,5 mph,0 mph,29.5 in,0.0 in,0.0 in,Mostly Cloudy,41.72,-87.71,Evergreen Park,KILEVERG5,3-1-2019
23,4:53 PM,31 F,23 F,72 %,NE,6 mph,0 mph,29.5 in,0.0 in,0.0 in,Cloudy,41.72,-87.71,Evergreen Park,KILEVERG5,3-1-2019
24,5:53 PM,31 F,23 F,72 %,ENE,5 mph,0 mph,29.4 in,0.0 in,0.0 in,Light Snow,41.72,-87.71,Evergreen Park,KILEVERG5,3-1-2019
25,6:53 PM,31 F,23 F,72 %,CALM,0 mph,0 mph,29.4 in,0.0 in,0.0 in,Light Snow,41.72,-87.71,Evergreen Park,KILEVERG5,3-1-2019
