,Temperature (° F),Actual,Historic Avg.,Record,Unnamed: 4,lat,lon,station_name,station_id,date
0,High Temp,95,74,95,,41.91,-87.78,North East Oak Park,KILOAKPA23,9-20-2018
1,Low Temp,68,56,38,,41.91,-87.78,North East Oak Park,KILOAKPA23,9-20-2018
2,Day Average Temp,82,65,-,,41.91,-87.78,North East Oak Park,KILOAKPA23,9-20-2018
3,Precipitation,0,0.12,1.12,,41.91,-87.78,North East Oak Park,KILOAKPA23,9-20-2018
4,Month to Date,1.48,2.26,-,,41.91,-87.78,North East Oak Park,KILOAKPA23,9-20-2018
5,Year to Date,27.28,28.81,-,,41.91,-87.78,North East Oak Park,KILOAKPA23,9-20-2018
6,Heating Degree Days,0,3,-,,41.91,-87.78,North East Oak Park,KILOAKPA23,9-20-2018
7,HDD Month to Date,0,32,-,,41.91,-87.78,North East Oak Park,KILOAKPA23,9-20-2018
8,HDD Since July 1,0,37,-,,41.91,-87.78,North East Oak Park,KILOAKPA23,9-20-2018
9,Cooling Degree Days,17,3,-,,41.91,-87.78,North East Oak Park,KILOAKPA23,9-20-2018
10,CDD Month to Date,190,100,-,,41.91,-87.78,North East Oak Park,KILOAKPA23,9-20-2018
11,CDD Year to Date,1355,1010,-,,41.91,-87.78,North East Oak Park,KILOAKPA23,9-20-2018
12,Growing Degree Days,32,-,-,,41.91,-87.78,North East Oak Park,KILOAKPA23,9-20-2018
13,Dew Point,68,-,-,,41.91,-87.78,North East Oak Park,KILOAKPA23,9-20-2018
14,High,72,-,-,,41.91,-87.78,North East Oak Park,KILOAKPA23,9-20-2018
15,Low,65,-,-,,41.91,-87.78,North East Oak Park,KILOAKPA23,9-20-2018
16,Average,68,-,-,,41.91,-87.78,North East Oak Park,KILOAKPA23,9-20-2018
17,Max Wind Speed,22,-,-,,41.91,-87.78,North East Oak Park,KILOAKPA23,9-20-2018
18,Visibility,10,-,-,,41.91,-87.78,North East Oak Park,KILOAKPA23,9-20-2018
19,Sea Level Pressure,29.98,-,-,,41.91,-87.78,North East Oak Park,KILOAKPA23,9-20-2018
20,Actual Time,12h 16m,6:37 AM,6:54 PM,,41.91,-87.78,North East Oak Park,KILOAKPA23,9-20-2018
21,Civil Twilight,,6:09 AM,7:22 PM,,41.91,-87.78,North East Oak Park,KILOAKPA23,9-20-2018
22,Nautical Twilight,,5:37 AM,7:54 PM,,41.91,-87.78,North East Oak Park,KILOAKPA23,9-20-2018
23,Astronomical Twilight,,5:03 AM,8:28 PM,,41.91,-87.78,North East Oak Park,KILOAKPA23,9-20-2018
24,Moon: waxing gibbous,,4:55 PM,2:04 AM,,41.91,-87.78,North East Oak Park,KILOAKPA23,9-20-2018
