,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Precip Accum,Condition
0,7:51 PM,9 F,-2 F,61 %,S,14 mph,0 mph,29.6 in,0.0 in,0.0 in,Cloudy
1,8:51 PM,10 F,-1 F,61 %,S,12 mph,0 mph,29.6 in,0.0 in,0.0 in,Cloudy
2,9:51 PM,14 F,0 F,54 %,S,14 mph,0 mph,29.6 in,0.0 in,0.0 in,Cloudy
3,10:51 PM,15 F,1 F,54 %,S,13 mph,0 mph,29.6 in,0.0 in,0.0 in,Cloudy
4,11:47 PM,16 F,3 F,58 %,S,17 mph,0 mph,29.5 in,0.0 in,0.0 in,Light Snow
5,11:51 PM,14 F,4 F,64 %,S,16 mph,0 mph,29.5 in,0.0 in,0.0 in,Light Snow
6,12:10 AM,14 F,6 F,71 %,S,15 mph,0 mph,29.5 in,0.0 in,0.0 in,Light Snow
7,12:51 AM,15 F,7 F,70 %,S,15 mph,0 mph,29.5 in,0.0 in,0.0 in,Cloudy
8,1:51 AM,17 F,6 F,62 %,S,21 mph,0 mph,29.5 in,0.0 in,0.0 in,Cloudy / Windy
9,2:51 AM,18 F,6 F,60 %,S,17 mph,23 mph,29.4 in,0.0 in,0.0 in,Cloudy
10,3:51 AM,20 F,7 F,57 %,S,17 mph,22 mph,29.4 in,0.0 in,0.0 in,Cloudy
11,4:51 AM,22 F,9 F,58 %,SSW,20 mph,0 mph,29.4 in,0.0 in,0.0 in,Cloudy
12,5:51 AM,23 F,11 F,60 %,SSW,21 mph,25 mph,29.4 in,0.0 in,0.0 in,Cloudy / Windy
13,6:51 AM,25 F,13 F,60 %,SSW,15 mph,0 mph,29.4 in,0.0 in,0.0 in,Cloudy
14,7:51 AM,27 F,15 F,61 %,SW,17 mph,25 mph,29.3 in,0.0 in,0.0 in,Light Snow
15,8:39 AM,26 F,19 F,75 %,SSW,16 mph,24 mph,29.3 in,0.0 in,0.0 in,Light Freezing Drizzle
16,8:51 AM,26 F,20 F,78 %,SSW,17 mph,24 mph,29.3 in,0.0 in,0.0 in,Light Freezing Drizzle
17,9:08 AM,27 F,20 F,75 %,SSW,16 mph,0 mph,29.3 in,0.0 in,0.0 in,Cloudy
18,9:40 AM,27 F,20 F,75 %,SSW,18 mph,24 mph,29.3 in,0.0 in,0.0 in,Light Freezing Drizzle
19,9:51 AM,27 F,20 F,75 %,SSW,14 mph,0 mph,29.3 in,0.0 in,0.0 in,Light Freezing Drizzle
20,10:13 AM,28 F,20 F,72 %,SSW,14 mph,0 mph,29.3 in,0.0 in,0.0 in,Light Freezing Rain
21,10:24 AM,28 F,21 F,75 %,SSW,16 mph,0 mph,29.3 in,0.0 in,0.0 in,Light Freezing Rain
22,10:51 AM,28 F,21 F,75 %,SSW,13 mph,0 mph,29.3 in,0.0 in,0.0 in,Light Freezing Drizzle
23,11:34 AM,29 F,22 F,75 %,SSW,15 mph,23 mph,29.3 in,0.0 in,0.0 in,Light Freezing Rain
24,11:42 AM,29 F,23 F,78 %,SSW,14 mph,0 mph,29.3 in,0.0 in,0.0 in,Light Freezing Rain
25,11:51 AM,29 F,23 F,78 %,SSW,15 mph,0 mph,29.3 in,0.0 in,0.0 in,Light Freezing Rain
26,12:07 PM,30 F,23 F,75 %,SSW,14 mph,23 mph,29.3 in,0.0 in,0.0 in,Light Freezing Drizzle
27,12:51 PM,30 F,24 F,79 %,SSW,12 mph,0 mph,29.3 in,0.0 in,0.0 in,Light Freezing Drizzle
28,1:07 PM,30 F,24 F,79 %,SSW,13 mph,0 mph,29.3 in,0.0 in,0.0 in,Light Freezing Rain
29,1:23 PM,30 F,24 F,79 %,SSW,14 mph,0 mph,29.3 in,0.0 in,0.0 in,Light Freezing Drizzle
30,1:51 PM,31 F,24 F,76 %,SSW,12 mph,0 mph,29.2 in,0.0 in,0.0 in,Light Freezing Drizzle
31,2:31 PM,32 F,24 F,73 %,SSW,14 mph,0 mph,29.2 in,0.0 in,0.0 in,Cloudy
32,2:51 PM,31 F,24 F,76 %,SSW,13 mph,0 mph,29.2 in,0.0 in,0.0 in,Light Freezing Rain
33,3:51 PM,32 F,26 F,79 %,SSW,14 mph,0 mph,29.2 in,0.0 in,0.0 in,Wintry Mix
34,4:00 PM,32 F,27 F,82 %,SSW,15 mph,0 mph,29.2 in,0.0 in,0.0 in,Light Freezing Rain
35,4:51 PM,33 F,28 F,82 %,SSW,14 mph,0 mph,29.2 in,0.0 in,0.0 in,Wintry Mix
36,5:00 PM,32 F,28 F,85 %,SSW,14 mph,0 mph,29.2 in,0.0 in,0.0 in,Wintry Mix
37,5:12 PM,32 F,29 F,88 %,SSW,15 mph,0 mph,29.2 in,0.0 in,0.0 in,Light Snow
38,5:35 PM,32 F,29 F,88 %,SSW,14 mph,0 mph,29.2 in,0.0 in,0.0 in,Light Snow
39,5:51 PM,32 F,29 F,88 %,SSW,14 mph,0 mph,29.2 in,0.0 in,0.0 in,Light Snow
40,6:00 PM,32 F,29 F,88 %,SW,15 mph,0 mph,29.2 in,0.0 in,0.0 in,Cloudy
41,6:41 PM,33 F,30 F,89 %,SW,14 mph,0 mph,29.2 in,0.0 in,0.0 in,Cloudy
42,6:48 PM,34 F,30 F,87 %,SW,10 mph,0 mph,29.2 in,0.0 in,0.0 in,Light Drizzle
43,6:51 PM,33 F,30 F,89 %,SW,13 mph,0 mph,29.2 in,0.0 in,0.0 in,Light Drizzle
